Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.160976451493467
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.69224831964856
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,4.01003452306043
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,6.54938894201171
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.77920257513549
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,5.64499474501464
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.74065029063396
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,2.1874763175712
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Australia,AUS,15.2536183403361
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Austria,AUT,7.2939842524557
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Azerbaijan,AZE,3.54239782750878
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Bahamas, The",BHS,7.02002416017844
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bahrain,BHR,22.2595806695899
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bangladesh,BGD,0.548224196802713
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Barbados,BRB,4.46141766007567
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belarus,BLR,6.12223776544422
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belgium,BEL,8.09558395403513
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belize,BLZ,1.64484248241402
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Benin,BEN,0.593957402249655
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bermuda,BMU,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bhutan,BTN,1.36815120067167
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bolivia,BOL,1.89686699834282
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bosnia and Herzegovina,BIH,6.26950657013477
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Botswana,BWA,2.90034572120997
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Brazil,BRA,2.05068507848387
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,British Virgin Islands,VGB,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Brunei Darussalam,BRN,15.9571548577283
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bulgaria,BGR,5.61085727989368
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Burkina Faso,BFA,0.238644814374665
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Burundi,BDI,0.0606324085103501
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cabo Verde,CPV,1.12645785515162
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cambodia,KHM,0.99828812132025
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cameroon,CMR,0.36575423097444
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Canada,CAN,15.4306128276297
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cayman Islands,CYM,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Central African Republic,CAF,0.0460712358524027
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Chad,TCD,0.139518738482728
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Channel Islands,CHI,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Chile,CHL,4.79897448626273
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,China,CHN,7.60593696057347
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Colombia,COL,1.61474774997391
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Comoros,COM,0.404558352293774
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Congo, Dem. Rep.",COD,0.035703604452862
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Congo, Rep.",COG,1.30323966861845
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Costa Rica,CRI,1.62060141840353
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cote d'Ivoire,CIV,0.414187926192633
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Croatia,HRV,4.06370783264011
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cuba,CUB,2.28953729585692
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Curacao,CUW,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cyprus,CYP,5.85106560779507
